สนามบิน|机场
เดินป่า7|徒步7
ปีนเขา7|爬山7
ดำน้ำ7|潜水7
ดำน้ำตื้น7|浮潜7
แล่นเรือ7|帆船7
โต้คลื่น7|冲浪7
ว่ายน้ำ7|游泳7
พายเรือ7|划船7
ตกปลา7|钓鱼7
ถ่ายรูป7|拍照7
วิดีโอ7|录像7
ของที่ระลึก7|纪念品7
ร้านของที่ระลึก7|纪念品店7
ตลาด7|市场7
ห้างสรรพสินค้า7|百货商店7
อาหาร7|食物7
อาหารท้องถิ่น7|当地菜7
อาหาร街头7|街头食品7
ร้านอาหาร7|餐厅7
สกุลเงิน7|货币7
แลกเงิน7|换钱7
เอทีเอ็ม7|ATM7
บัตรเครดิต7|信用卡7
เงินสด7|现金7
ประกันการเดินทาง7|旅行保险7
อุบัติเหตุ7|事故7
เจ็บป่วย7|生病7
โรงพยาบาล7|医院7
สถานทูต7|大使馆7
สถานกงสุล7|领事馆7
หมายเลขฉุกเฉิน7|紧急电话7
1917|报警电话7
16697|急救电话7
11557|旅游警察7
ฝ่ายกงสุล7|领事部7
ขอความช่วยเหลือ7|请求帮助7
ติดต่อ7|联系7
ติดต่อสถานทูต7|联系大使馆7
ทำหนังสือเดินทางหาย7|护照丢失7
ทำกระเป๋าหาย7|行李丢失7
กระเป๋าแตก7|行李破损7
เที่ยวบินยกเลิก7|航班取消7
ล่าช้าหลายชั่วโมง7|延误数小时7
ห้องพัก7|住宿7
ที่พัก7|住处7
เต็นท์7|帐篷7
แคมป์7|营地7
บ้านพักตากอากาศ7|度假屋7
บนภูเขา7|山上7
ริมทะเล7|海边7
ในป่า7|森林里7
กลางทะเลทราย7|沙漠中7
รอบเกาะ7|环岛7
รอบเมือง7|环城7
沿着河7|沿着河7
ผ่านเขา7|翻山7
ลอดอุโมงค์7|穿隧道7
สนามบิน8|机场8
เที่ยวบิน8|航班8
ตั๋วเครื่องบิน8|机票8
หนังสือเดินทาง8|护照8
วีซ่า8|签证8
ด่านตรวจคนเข้าเมือง8|海关8
ตรวจหนังสือเดินทาง8|护照检查8
กระเป๋าเดินทาง8|行李箱8
กระเป๋าเป้8|背包8
กระเป๋าถือ8|手提包8
น้ำหนักเกิน8|超重8
登机牌8|登机牌8
ประตูขึ้นเครื่อง8|登机口8
เครื่องบิน8|飞机8
ห้องโดยสาร8|客舱8
ที่นั่ง8|座位8
หน้าต่าง8|窗户8
ทางเดิน8|过道8
เวลามาถึง8|到达时间8
เวลาออกเดินทาง8|出发时间8
ล่าช้า8|延误8
เปลี่ยนเที่ยวบิน8|转机8
เที่ยวบินตรง8|直飞8
โรงแรม8|酒店8
โมเตล8|汽车旅馆8
โฮสเทล8|青旅8
รีสอร์ท8|度假村8
บ้านพัก8|民宿8
ห้องเตียงคู่8|双人房8
ห้องเตียงเดี่ยว8|单人房8
ห้องครอบครัว8|家庭房8
ห้องสวีท8|套房8
อินเทอร์เน็ต8|互联网8
Wi-Fi8|无线网络8
ห้องอาหาร8|餐厅8
สระว่ายน้ำ8|游泳池8
สปา8|SPA馆8
ฟิตเนส8|健身中心8
ที่จอดรถ8|停车场8
แผนกต้อนรับ8|前台8
เช็คอิน8|入住8
เช็คเอาท์8|ออก8
