สุขภาพ|健康
ตกเลือด7|出血7
หัก7|骨折7
เคล็ดขัดยอก7|扭伤7
ไฟไหม้7|烧伤7
น้ำร้อนลวก7|烫伤7
ห้องฉุกเฉิน7|急诊室7
ห้องผ่าตัด7|手术室7
ห้องแล็บ7|化验室7
เอกซเรย์7|X光7
ฉีดวัคซีน7|打疫苗7
วัคซีน7|疫苗7
ป้องกัน7|预防7
ทำความสะอาด12|清洁12
ล้างมือ7|洗手7
สวมหน้ากาก7|戴口罩7
เว้นระยะห่าง7|保持距离7
กักตัว7|隔离7
ตรวจสุขภาพ7|体检7
ตรวจเลือด7|验血7
ตรวจปัสสาวะ7|验尿7
ซีทีสแกน7|CT扫描7
MRI7|磁共振7
อัลตราซาวด์7|超声波7
ผลตรวจ7|检查结果7
วินิจฉัย7|诊断7
รักษา7|治疗7
ผ่าตัด7|手术7
ทำกายภาพ7|理疗7
ฝังเข็ม12|针灸12
นวด7|按摩7
สปา7|SPA7
น้ำมันหอมระเหย7|精油7
สมุนไพร7|草药7
แผนโบราณ7|传统疗法7
แผนปัจจุบัน7|现代疗法7
แพทย์แผนไทย7|泰医7
แพทย์แผนจีน7|中医7
ฝังเข็ม13|针灸13
สุขอนามัย7|卫生7
ทำความสะอาด13|清洁13
ฆ่าเชื้อ7|消毒7
ASTE7|卫生7
 cigaret7|烟7
บุหรี่7|香烟7
สูบบุหรี่7|吸烟7
ดื่มสุรา7|喝酒7
เสพยา7|吸毒7
โภชนาการ7|营养7
พลังงาน7|能量7
แคลอรี7|卡路ี7
สารอาหาร7|营养素7
สุขภาพ8|健康8
หมอ8|医生8
พยาบาล8|护士8
โรงพยาบาล8|医院8
คลินิก8|诊所8
ยา8|药8
ยาเม็ด8|药片8
ยาน้ำ8|药水8
ยาฉีด8|注射药8
ยาปฏิชีวนะ8|抗生素8
พาราเซตามอล8|扑热息痛8
ไอบูโพรเฟน8|布洛芬8
วิตามิน8|维生素8
ยาแก้แพ้8|抗过敏药8
อาการ8|症状8
ไข้8|发烧8
ไอ8|咳嗽8
